# NS Osc. Amp (MPa), delc/c0 (%)
2.270986019352365659e-01,-3.295453427189148909e-03
4.256142635935757923e-01,-7.089814911695774269e-03
6.231665705527866805e-01,-9.497870319339138737e-03
4.190838643426486598e-01,-2.064758268737162603e-03
8.238709594726021379e-01,-1.584550213873724828e-02
4.304878041548283463e-01,-1.474938449550215920e-03
1.030843948471141580e+00,-1.980303666019838857e-02
# Effective NS = 15.3 MPa
